ID,ra,dec
2MASSJ08320053+1912058,128.00213428659,19.2016378247
2MASXJ08193880+2103521,124.911675,21.064478
2XMMJ114501.7+194549,176.25750381471,19.76372550714
2XMMJ134719.1+581437,206.830221,58.243731
2XMMiJ092720.4+362407,141.835162,36.401893
2dFGRSTGN255Z232,193.50785249912,-1.50833745705
ECO2050,228.550827,13.809699
GAMA100159,185.75317,0.97764
GAMA107692,221.88912,0.88853
GAMA125233,183.13208,-2.67316
GAMA125552,184.483,-2.70065
GAMA1366459,31.42363,-7.52362
GAMA136907,176.30279,-1.74244
GAMA137253,177.61525,-1.67996
GAMA1416335,32.05713,-6.01981
GAMA145243,183.60483,-1.3194
GAMA14600,212.17792,0.81436
GAMA1460491,30.47504,-7.00111
GAMA165362,180.96063,-2.75074
GAMA1707922,36.43525,-7.8693
GAMA171126,177.13771,-2.27457
GAMA1782034,36.68221,-4.68346
GAMA2005261,38.03892,-4.90987
GAMA203801,135.30275,-0.40449
GAMA209309,132.67071,0.12737
GAMA2123678,34.80546,-5.72257
GAMA251704,219.98892,1.98912
GAMA271775,176.2065,1.25488
GAMA287595,174.05425,1.65536
GAMA288964,180.78463,1.78174
GAMA319481,214.45496,1.94739
GAMA320154,217.24004,1.83133
GAMA320355,217.96042,1.85142
GAMA323194,130.81629,1.48409
GAMA324157,134.67663,1.60293
GAMA345391,129.34821,1.8575
GAMA346143,132.53025,2.02883
GAMA347011,135.85475,2.08188
GAMA3610352,135.011,-1.29563
GAMA372616,136.63833,1.03854
GAMA3888976,137.73329,-1.67801
GAMA3890101,138.58462,-1.57706
GAMA39223,175.92096,-0.74156
GAMA396678,174.60896,1.41375
GAMA40914,183.52038,-0.72682
GAMA48370,216.96475,-0.67652
GAMA484697,212.09942,-1.83071
GAMA485972,218.0,-1.75059
GAMA491657,212.67275,-1.58268
GAMA508946,219.10167,-1.56004
GAMA509326,220.78238,-1.50454
GAMA5197613,340.11042,-33.95949
GAMA5218881,342.31558,-34.89431
GAMA5222054,342.04108,-34.31351
GAMA5227891,341.85917,-32.24683
GAMA5259763,344.13646,-33.37278
GAMA5279975,345.57183,-31.29497
GAMA5313919,347.71696,-34.50744
GAMA5323517,348.16517,-32.38615
GAMA5328519,348.61996,-31.22186
GAMA543706,212.43675,-1.02177
GAMA561637,184.34746,-0.57309
GAMA570194,222.59617,-0.49144
GAMA574310,135.12567,-0.07071
GAMA575637,140.73888,-0.18457
GAMA609973,177.96613,0.26693
GAMA690874,175.53588,-0.75184
GAMA718498,180.52021,1.83567
GAMA758823,176.95658,0.12948
GAMA774915,181.66242,0.95929
GAMA779795,174.41308,-1.74681
GAMA79235,220.62725,0.1164
GAMA92777,217.45408,0.56514
J003351.52-442559.41,8.4647,-44.4332
J003509.30-443221.91,8.7887,-44.5394
J003536.71-430259.19,8.903,-43.0498
J003554.17-433418.65,8.9757,-43.5718
J003604.09-431752.58,9.0171,-43.2979
J003613.07-430204.02,9.0545,-43.0345
J003618.97-441252.63,9.0791,-44.2146
J003703.36-443636.32,9.264,-44.6101
J004003.31-442354.95,10.0138,-44.3986
J004057.17-443117.80,10.2382,-44.5216
J004134.41-441421.80,10.3934,-44.2394
J020017.91+001429.8,30.074629,0.24161105
J020313.34-083456.7,30.805591,-8.5824032
J022253.62-042929.22,35.7234,-4.4914
J022328.12-045303.43,35.8672,-4.8843
J022446.71-050017.47,36.1946,-5.0049
J022536.72-052129.72,36.403,-5.3583
J022541.88-051834.59,36.4245,-5.3096
J022543.79-045813.85,36.4325,-4.9705
J022640.02-041809.40,36.6667,-4.3026
J022651.02-051106.64,36.7126,-5.1852
J030036.22+010517.2,45.150905,1.088106
J031749.79-003316.8,49.457451,-0.55467469
J032825.44-285343.09,52.106,-28.8953
J032840.21-274711.05,52.1675,-27.7864
J032843.26-284910.94,52.1802,-28.8197
J032844.43-271339.43,52.1851,-27.2276
J032844.78-271553.60,52.1866,-27.2649
J032847.11-271553.99,52.1963,-27.265
J032902.06-280409.71,52.2586,-28.0694
J032902.11-280407.85,52.2588,-28.0688
J032940.97-280521.98,52.4207,-28.0894
J032953.42-285301.41,52.4726,-28.8837
J032955.16-284359.67,52.4798,-28.7332
J033123.08-283046.00,52.8462,-28.5128
J033208.98-284456.72,53.0374,-28.7491
